symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume
ITMG,2020-11-20 0:00:00,10150.0,10925.0,10050.0,10350.0,6548300.0,10150.0,10925.0,10050.0,10350.0,6548300.0
ITMG,2020-11-23 0:00:00,10500.0,10600.0,10225.0,10300.0,5758800.0,10500.0,10600.0,10225.0,10300.0,5758800.0
ITMG,2020-11-24 0:00:00,10950.0,11100.0,10700.0,10800.0,8011300.0,10950.0,11100.0,10700.0,10800.0,8011300.0
ITMG,2020-11-25 0:00:00,11200.0,12525.0,10950.0,11200.0,13020300.0,11200.0,12525.0,10950.0,11200.0,13020300.0
ITMG,2020-11-26 0:00:00,11500.0,11925.0,11350.0,11600.0,5903800.0,11500.0,11925.0,11350.0,11600.0,5903800.0
ITMG,2020-11-27 0:00:00,11850.0,11975.0,11575.0,11750.0,5450200.0,11850.0,11975.0,11575.0,11750.0,5450200.0
ITMG,2020-11-30 0:00:00,13100.0,14150.0,12000.0,12200.0,31753000.0,13100.0,14150.0,12000.0,12200.0,31753000.0
ITMG,2020-12-01 0:00:00,13800.0,14075.0,13150.0,13600.0,15724500.0,13800.0,14075.0,13150.0,13600.0,15724500.0
ITMG,2020-12-02 0:00:00,14875.0,14950.0,13875.0,14100.0,13603400.0,14875.0,14950.0,13875.0,14100.0,13603400.0
ITMG,2020-12-03 0:00:00,14900.0,15700.0,14800.0,15250.0,19555500.0,14900.0,15700.0,14800.0,15250.0,19555500.0
ITMG,2020-12-04 0:00:00,14950.0,15450.0,14900.0,15400.0,10424800.0,14950.0,15450.0,14900.0,15400.0,10424800.0
ITMG,2020-12-07 0:00:00,14975.0,15375.0,14950.0,15200.0,8669500.0,14975.0,15375.0,14950.0,15200.0,8669500.0
ITMG,2020-12-08 0:00:00,14825.0,15200.0,14750.0,15200.0,8973600.0,14825.0,15200.0,14750.0,15200.0,8973600.0
ITMG,2020-12-10 0:00:00,14250.0,14825.0,14100.0,14800.0,12725200.0,14250.0,14825.0,14100.0,14800.0,12725200.0
ITMG,2020-12-11 0:00:00,14675.0,14750.0,14400.0,14425.0,7534300.0,14675.0,14750.0,14400.0,14425.0,7534300.0
ITMG,2020-12-14 0:00:00,15400.0,15500.0,15000.0,15000.0,10132600.0,15400.0,15500.0,15000.0,15000.0,10132600.0
ITMG,2020-12-15 0:00:00,15225.0,15600.0,15075.0,15500.0,7160100.0,15225.0,15600.0,15075.0,15500.0,7160100.0
